招聘信息,公司名,工作地点,公司类型,薪资,福利,公司规模,企业类型,工作经验,学历,招聘人数,最低薪资,最高薪资
高级前端开发工程师/前端组长,杭州财人汇网络股份有限公司,上海,民营公司,1.8-2.5万/月,五险一金 餐饮补贴 定期体检 高温补贴 带薪年假,150-500人,互联网/电子商务,3-4年经验,本科,招若干人,1.8,2.5
前端开发工程师（中高级）,南京绛门信息科技股份有限公司,广州,上市公司,1.5-2.2万/月,五险一金,1000-5000人,通信/电信/网络设备,3-4年经验,大专,招5人,1.5,2.2
web前端工程师,深圳市中教光电有限公司,深圳,民营公司,2-3.5万/月,节假日福利 五险一金 餐饮补贴 弹性工作 年终奖金,50-150人,计算机软件,3-4年经验,本科,招5人,2,3.5
iOS开发工程师,深圳市中教光电有限公司,深圳,民营公司,2.5-3万/月,节假日福利 五险一金 餐饮补贴 弹性工作 年终奖金,50-150人,计算机软件,3-4年经验,本科,招5人,2.5,3
Android工程师,深圳市中教光电有限公司,深圳,民营公司,2.5-3万/月,节假日福利 五险一金 餐饮补贴 弹性工作 年终奖金,50-150人,计算机软件,3-4年经验,本科,招5人,2.5,3
CDN媒体开发工程师,深圳市小溪流科技有限公司,深圳,民营公司,1.5-2万/月,五险一金 带薪年假 节日福利 全勤奖 年终奖金,50-150人,计算机软件,3-4年经验,本科,招1人,1.5,2
CDN后端开发工程师,深圳市小溪流科技有限公司,深圳,民营公司,0.8-1.2万/月,五险一金 带薪年假 节日福利 全勤奖 年终奖金,50-150人,计算机软件,1年经验,本科,招2人,0.8,1.2
Android应用开发工程师,深圳市小溪流科技有限公司,深圳,民营公司,0.8-1.2万/月,五险一金 带薪年假 节日福利 全勤奖 年终奖金,50-150人,计算机软件,1年经验,本科,招1人,0.8,1.2
上位机软件开发工程师,深圳市创新特科技有限公司,深圳,民营公司,2-2.5万/月,五险一金 年终奖金 带薪年假 近地铁,50-150人,仪器仪表/工业自动化,2年经验,大专,招2人,2,2.5
系统软件工程师,可孚医疗科技股份有限公司,长沙,上市公司,1-1.5万/月,节日福利 五险一金 免费提供食宿 团建活动,1000-5000人,医疗设备/器械,5-7年经验,本科,招1人,1,1.5
中级web前端开发工程师,浙江科运物联科技有限公司,成都,民营公司,1-1.2万/月,五险一金 带薪年假 绩效奖金 餐饮补贴 带薪旅游 定期体检 14薪,50-150人,互联网/电子商务,3-4年经验,本科,招1人,1,1.2
软件工程师,湖南省健缘医疗科技有限公司,娄底,民营公司,0.6-1万/月,专业培训 年终奖金 生日福利 免费食宿 节假日福利 五险 工龄工资 高温补贴 全勤奖,150-500人,医疗设备/器械,3-4年经验,大专,招若干人,0.6,1
图像算法工程师,可孚医疗科技股份有限公司,长沙,上市公司,1.1-2.1万/月,节日福利 五险一金 免费提供食宿 团建活动,1000-5000人,医疗设备/器械,5-7年经验,硕士,招1人,1.1,2.1
流程工程师102301,广东光大企业集团有限公司,东莞,民营公司,6-8千/月,五险一金 交通补贴 年终奖金 绩效奖金 定期体检 专业培训 通讯补贴 提供宿舍 员工旅游,10000人以上,多元化业务集团公司,1年经验,本科,招2人,0.6,0.8
EBS开发工程师102302,广东光大企业集团有限公司,东莞,民营公司,1-1.5万/月,五险一金 交通补贴 年终奖金 绩效奖金 定期体检 专业培训 通讯补贴 提供宿舍 员工旅游,10000人以上,多元化业务集团公司,3-4年经验,本科,招1人,1,1.5
Web前端开发工程师,上海金指软件技术有限公司,上海,民营公司,1.2-1.8万/月,五险一金 餐饮补贴 定期体检 专业培训 免费班车 员工旅游 交通补贴 年终奖金 股票期权 绩效奖金,50-150人,互联网/电子商务,3-4年经验,大专,招10人,1.2,1.8
软件工程师,杭州煦达新能源科技有限公司上海分公司,上海,民营公司,0.8-1.6万/月,五险一金 绩效奖金 年终奖金 弹性工作 专业培训 员工旅游,150-500人,新能源,1年经验,本科,招2人,0.8,1.6
Web前端开发工程师,上海声阅智能科技有限公司,武汉,民营公司,1-1.5万/月,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 年终奖金 定期体检,50-150人,计算机硬件,3-4年经验,大专,招若干人,1,1.5
Web前端开发工程师,上海蓝矩信息科技有限公司,上海,民营公司,0.7-1万/月,做五休二 五险一金 员工旅游 餐饮补贴 专业培训 年终奖金,少于50人,计算机软件,1年经验,本科,招2人,0.7,1
camstar MES 工程师,冠骋信息技术（苏州）有限公司,苏州,民营公司,1.5-2.5万/月,五险一金 员工旅游 交通补贴 专业培训 绩效奖金 年终奖金 周末双休 提供住宿 补充保险 通讯补贴,50-150人,计算机软件,2年经验,大专,招5人,1.5,2.5
iOS开发工程师,武汉中科岩土工程技术培训有限公司,武汉,创业公司,1-1.5万/月,五险一金 餐饮补贴 绩效奖金 年终奖金 员工旅游 定期体检 专业培训 节日福利,少于50人,教育/培训/院校,3-4年经验,本科,招1人,1,1.5
CNN Training (自动驾驶神经网络模型训练）,宝马诚迈信息技术有限公司,南京,合资,1.5-2.5万/月,五险一金 免费班车 专业培训 弹性工作 定期体检 带薪年假 周末双休,150-500人,计算机软件,2年经验,本科,招1人,1.5,2.5
Android Framework（安卓开发工程师）,宝马诚迈信息技术有限公司,南京,合资,1.5-2.5万/月,五险一金 免费班车 专业培训 弹性工作 定期体检 带薪年假 周末双休,150-500人,计算机软件,3-4年经验,本科,招1人,1.5,2.5
Scenarios Extraction Dev（场景提取工程师 ）,宝马诚迈信息技术有限公司,南京,合资,1.5-2.5万/月,五险一金 免费班车 专业培训 弹性工作 定期体检 带薪年假 周末双休,150-500人,计算机软件,2年经验,本科,招1人,1.5,2.5
CNN Training (自动驾驶神经网络模型训练）,宝马诚迈信息技术有限公司,南京,合资,1.5-2.5万/月,五险一金 免费班车 专业培训 弹性工作 定期体检 带薪年假 周末双休,150-500人,计算机软件,1年经验,本科,招3人,1.5,2.5
Data Analytic（大数据开发）,宝马诚迈信息技术有限公司,南京,合资,1.5-2.5万/月,五险一金 免费班车 专业培训 弹性工作 定期体检 周末双休 带薪年假,150-500人,计算机软件,5-7年经验,本科,招3人,1.5,2.5
软件开发工程师（JAVA）,浙江华工赛百数据系统有限公司,武汉,国企,0.7-1.1万/月,五险一金 交通补贴 绩效奖金 餐饮补贴 通讯补贴 专业培训 年终奖金 团队氛围好,50-150人,计算机软件,1年经验,本科,招2人,0.7,1.1
Android开发工程师,珠海趣印科技有限公司,珠海,民营公司,1.2-1.8万/月,员工旅游 出国机会 通讯补贴 免费午餐 带薪年假 五险,150-500人,办公用品及设备,2年经验,本科,招1人,1.2,1.8
GNSS算法工程师,上海联适导航技术股份有限公司,上海,民营公司,2-4万/月,五险一金 员工旅游 餐饮补贴 绩效奖金 年终奖金 弹性工作 定期体检,150-500人,电子技术/半导体/集成电路,3-4年经验,硕士,招1人,2,4
机械臂算法工程师,上海联适导航技术股份有限公司,上海,民营公司,2.5-4万/月,五险一金 员工旅游 餐饮补贴 绩效奖金 年终奖金 定期体检 通讯补贴 专业培训 出国机会,150-500人,电子技术/半导体/集成电路,3-4年经验,硕士,招2人,2.5,4
惯性导航算法工程师,上海联适导航技术股份有限公司,上海,民营公司,2.5-4万/月,五险一金 员工旅游 餐饮补贴 绩效奖金 年终奖金 弹性工作 定期体检,150-500人,电子技术/半导体/集成电路,5-7年经验,硕士,招3人,2.5,4
遥感图像算法工程师,上海联适导航技术股份有限公司,西安,民营公司,1.5-2.5万/月,五险一金 员工旅游 餐饮补贴 绩效奖金 年终奖金 弹性工作 定期体检,150-500人,电子技术/半导体/集成电路,2年经验,硕士,招2人,1.5,2.5
遥感图像算法工程师,上海联适导航技术股份有限公司,上海,民营公司,1.5-2.5万/月,五险一金 员工旅游 餐饮补贴 绩效奖金 年终奖金 弹性工作 定期体检,150-500人,电子技术/半导体/集成电路,2年经验,硕士,招3人,1.5,2.5
算法工程师,上海联适导航技术股份有限公司,西安,民营公司,1.5-2.5万/月,五险一金 员工旅游 餐饮补贴 年终奖金 定期体检 股票期权 专业培训 上海户口 人才公寓 出国机会,150-500人,电子技术/半导体/集成电路,3-4年经验,硕士,招5人,1.5,2.5
Web前端开发工程师,上海联适导航技术股份有限公司,上海,民营公司,1-2万/月,五险一金 员工旅游 餐饮补贴 年终奖金 弹性工作 定期体检 员工宿舍 生日福利 节日红包 股票期权,150-500人,电子技术/半导体/集成电路,3-4年经验,本科,招3人,1,2
算法工程师,上海联适导航技术股份有限公司,上海,民营公司,1.5-3万/月,五险一金 员工旅游 餐饮补贴 年终奖金 弹性工作 定期体检 股票期权 出国机会 人才公寓 上海户口,150-500人,电子技术/半导体/集成电路,3-4年经验,硕士,招3人,1.5,3
Android开发工程师,上海联适导航技术股份有限公司,上海,民营公司,1-1.5万/月,五险一金 员工旅游 餐饮补贴 绩效奖金 年终奖金 弹性工作 定期体检,150-500人,电子技术/半导体/集成电路,2年经验,本科,招5人,1,1.5
APP开发工程师,宁波望通锁业有限公司,宁波,民营公司,1.5-2.5万/月,住房补贴 加班补贴 餐饮补贴 全勤奖 节日福利 包吃 包住宿 五险一金,500-1000人,机械/设备/重工,3-4年经验,本科,招1人,1.5,2.5
Web前端开发工程师,佛山市杜特软件科技有限公司,佛山,民营公司,0.8-1.5万/月,餐饮补贴 员工旅游 社保 5.5天工作制 下午茶,50-150人,计算机软件,5-7年经验,大专,招2人,0.8,1.5
Sr. Staff Software Engineer,新突思电子科技（上海）有限公司深圳分公司,北京,外资（欧美）,2.5-5万/月,五险一金 专业培训 弹性工作 定期体检,150-500人,电子技术/半导体/集成电路,10年以上经验,本科,招2人,2.5,5
资深软件工程师,深圳盛达同泽科技有限公司,苏州,民营公司,1.5-2.5万/月,带薪年假 五险一金 绩效奖金 节日福利 交通补贴 年终奖金 定期体检 餐饮补贴,50-150人,医疗设备/器械,5-7年经验,本科,招1人,1.5,2.5
APP开发工程师,宁波望通锁业有限公司,宁波,民营公司,1.5-2万/月,住房补贴 加班补贴 餐饮补贴 全勤奖 节日福利 包吃 包住宿,500-1000人,机械/设备/重工,3-4年经验,本科,招1人,1.5,2
算法工程师,重庆傲雄在线信息技术有限公司,重庆,民营公司,1.2-3万/月,餐饮补贴 年终奖金 周末双休 五险一金 做五休二 节日福利,150-500人,计算机软件,2年经验,本科,招3人,1.2,3
前端开发工程师,湖南深拓智能设备股份有限公司,长沙,上市公司,7-8千/月,周末双休 包住宿 免费班车 绩效奖金 专业培训 加班补贴 餐饮补贴,150-500人,仪器仪表/工业自动化,2年经验,大专,招2人,0.7,0.8
MES助理工程师,数维积木科技（武汉）有限公司,武汉,民营公司,0.8-1.5万/月,年终奖金 绩效奖金 餐饮补贴 弹性工作 五险,少于50人,计算机软件,2年经验,大专,招1人,0.8,1.5
BIM软件开发-BIM部门,数维积木科技（武汉）有限公司,武汉,民营公司,3-7千/月,五险一金 员工旅游 年终奖金 绩效奖金 定期体检 弹性工作,少于50人,计算机软件,2年经验,本科,招1人,0.3,0.7
Linux前端开发工程师,广东中科慈航信息科技有限公司,广州,民营公司,0.8-1.2万/月,五险一金 员工旅游 专业培训 周末双休 绩效奖金,50-150人,计算机服务(系统、数据服务、维修),3-4年经验,大专,招1人,0.8,1.2
前端开发工程师（北京）,浙江甲骨文超级码科技股份有限公司,北京,民营公司,1.5-2.3万/月,带薪年假 住房补贴 节日福利 全勤奖 五险一金 周末双休 餐饮补贴,150-500人,计算机软件,3-4年经验,本科,招若干人,1.5,2.3
技术实施工程师(北京),浙江甲骨文超级码科技股份有限公司,北京,民营公司,1-1.5万/月,带薪年假 住房补贴 节日福利 全勤奖 五险一金 周末双休 餐饮补贴,150-500人,计算机软件,2年经验,本科,招1人,1,1.5
前端负责人,浙江甲骨文超级码科技股份有限公司,杭州,民营公司,2.5-3.5万/月,带薪年假 住房补贴 节日福利 全勤奖 五险一金 周末双休 餐饮补贴,150-500人,计算机软件,5-7年经验,本科,招1人,2.5,3.5
区块链开发工程师,浙江甲骨文超级码科技股份有限公司,杭州,民营公司,1.2-1.8万/月,餐饮补贴 专业培训 绩效奖金 年终奖金 五险一金 交通补贴 定期体检 弹性工作 下午茶 健身俱乐部,150-500人,计算机软件,1年经验,硕士,招1人,1.2,1.8
算法工程师,浙江甲骨文超级码科技股份有限公司,杭州,民营公司,1.8-3.5万/月,餐饮补贴 专业培训 绩效奖金 年终奖金 五险一金 交通补贴 定期体检 弹性工作 下午茶 健身俱乐部,150-500人,计算机软件,3-4年经验,硕士,招1人,1.8,3.5
web前端高级开发工程师,浙江甲骨文超级码科技股份有限公司,杭州,民营公司,1.5-2.5万/月,餐饮补贴 专业培训 绩效奖金 年终奖金 五险一金 交通补贴 定期体检 弹性工作 下午茶 健身俱乐部,150-500人,计算机软件,5-7年经验,本科,招3人,1.5,2.5
Web前端开发工程师,浙江甲骨文超级码科技股份有限公司,杭州,民营公司,1-1.5万/月,餐饮补贴 专业培训 绩效奖金 年终奖金 五险一金 交通补贴 定期体检 弹性工作 下午茶 健身俱乐部,150-500人,计算机软件,2年经验,大专,招4人,1,1.5
iOS开发工程师,广州前实网络科技有限公司,广州,民营公司,1-1.6万/月,餐饮补贴 通讯补贴 绩效奖金 弹性工作 专业培训 住房补贴 社保,50-150人,互联网/电子商务,2年经验,大专,招若干人,1,1.6
前端工程师,深圳市证通电子股份有限公司,广州,上市公司,1.1-1.5万/月,五险一金 餐饮补贴 绩效奖金 年终奖金 定期体检 补充医疗保险 商业保险 生日贺金,1000-5000人,电子技术/半导体/集成电路,3-4年经验,大专,招2人,1.1,1.5
前端开发工程师（中级）,深圳市证通电子股份有限公司,深圳,上市公司,1-1.5万/月,周末双休 带薪年假 包住宿 免费班车 交通补贴 餐饮补贴 通讯补贴 五险一金,1000-5000人,电子技术/半导体/集成电路,3-4年经验,本科,招2人,1,1.5
Android开发工程师,广州前实网络科技有限公司,广州,民营公司,1-1.5万/月,餐饮补贴 通讯补贴 绩效奖金 弹性工作 专业培训 住房补贴 社保,50-150人,互联网/电子商务,2年经验,大专,招若干人,1,1.5
初级Web前端开发工程师,广州前实网络科技有限公司,广州,民营公司,0.5-1万/月,员工旅游 交通补贴 餐饮补贴 通讯补贴 绩效奖金 年终奖金 弹性工作 专业培训,50-150人,互联网/电子商务,1年经验,本科,招若干人,0.5,1
